Code,Programme Title,Deadline
P01A,Executive Master of Business Administration (Taught in Chinese)行政人員工商管理碩士,"local: 31 Jul 2024
non-local: 30 Jun 2024
"
P01B,Executive Master of Business Administration* (Taught in Chinese)行政人員工商管理碩士* [中文授課],"local: 31 Jul 2024
non-local: 30 Jun 2024
"
P11,Master of Business Administration工商管理碩士[Accelerated path to Dual Degrees & MBA Concentration],"local: 15 Jul 2024
non-local: 31 May 2024
"
P12,Executive Master of Business Administration (EMBA)行政人員工商管理碩士Suspension in 2024/25 admission,"local: N/A
non-local: N/A
"
P84,MSc Business and Data Analytics理學碩士 (商業及數據分析),"local: 30 Apr 2024
non-local: 30 Apr 2024
"
P02,MA International Accounting文學碩士(國際會計學),"local: 29 Feb 2024
non-local: 29 Feb 2024
"
P10,MSc Professional Accounting and Corporate Governance理學碩士(專業會計與企業管治)Fellowships SchemeInformation Session: 6 Feb 2024,"local: 29 Feb 2024
non-local: 29 Feb 2024
"
P83,MSc Accounting and Finance with AI and Fintech Applications* [Taught in Chinese]理學碩士 (智能會計與金融科技應用)* [中文授課],"local: 31 May 2024
non-local: 31 May 2024
"
P04,MSc Finance理學碩士(金融學)Fellowships Scheme,"local: 31 Mar 2024
non-local: 31 Mar 2024
"
P13,MSc Applied Economics理學碩士(應用經濟學),"local: 31 Mar 2024
non-local: 31 Mar 2024
"
P15,MSc Financial Engineering理學碩士(金融工程學),"local: 31 Mar 2024
non-local: 31 Mar 2024
"
P05A,MSc Business Information Systems (Management of Intelligent Systems Stream)理學碩士(商務資訊系統) - 智能系統管理方向Fellowships Scheme,"local: 31 May 2024
non-local: 31 May 2024
"
P05B,MSc Business Information Systems (Financial and Intelligent Technology Stream)理學碩士(商務資訊系統) - 金融與智能科技方向Fellowships Scheme,"local: 31 May 2024
non-local: 31 May 2024
"
P16,MSc Digital Transformation and Technological Innovation理學碩士(數碼化轉型及科技創新),"local: 31 May 2024
non-local: 31 May 2024
"
P17,MSc Electronic Commerce理學碩士(電子商貿),"local: 31 Mar 2024
non-local: 31 Mar 2024
"
P84,MSc Business and Data Analytics理學碩士 (商業及數據分析),"local: 30 Apr 2024
non-local: 30 Apr 2024
"
P07,MA Global Business Management文學碩士(環球企業管理),"local: 30 Jun 2024
non-local: 31 May 2024
"
P19,MSc Management and Innovation理學碩士(管理及創新),"local: 30 Jun 2024
non-local: 31 May 2024
"
P09,MSc Operations and Supply Chain Management理學碩士(營運與供應鏈管理),"local: 30 Apr 2024
non-local: 30 Apr 2024
"
P84,MSc Business and Data Analytics理學碩士 (商業及數據分析),"local: 30 Apr 2024
non-local: 30 Apr 2024
"
P18,MSc Marketing理學碩士(市場營銷學),"local: 31 Mar 2024
non-local: 31 Mar 2024
"
